,LGBMClassifier
0,302
1,0
2,0
3,4
4,0
5,132
6,21
7,0
8,1
9,6
10,7
11,0
12,0
13,0
14,0
15,7
16,69
17,15
18,41
19,16
20,0
21,14
22,9
23,0
24,255
25,1
26,4
27,0
28,215
29,0
30,78
31,0
32,6
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,22
59,9
60,99
61,13
62,56
63,2
64,7
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,3
76,8
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,12
85,22
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,10
99,0
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,13
108,0
109,0
110,0
111,0
112,0
113,0
114,2
115,0
116,0
117,0
118,4
119,1
120,0
121,5
122,6
123,0
124,40
125,0
126,0
127,0
128,0
129,0
130,0
131,14
132,0
133,0
134,16
135,14
136,17
137,0
138,0
139,27
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,7
148,0
149,0
150,0
151,8
152,3
153,9
154,12
155,30
156,0
157,0
158,8
159,0
160,0
161,0
162,9
163,0
164,0
165,80
166,0
167,0
168,0
169,0
170,11
171,6
172,4
173,0
174,0
175,0
176,0
177,0
178,0
179,6
180,13
181,0
182,0
183,0
184,0
185,0
186,11
187,2
188,0
189,10
190,5
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,2
199,0
200,0
201,0
202,0
203,0
204,26
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,14
213,0
214,0
215,0
216,0
217,11
218,0
219,0
220,2
221,0
222,32
223,0
224,0
225,0
226,27
227,0
228,0
229,0
230,0
231,3
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,13
253,0
254,0
255,0
256,2
257,15
258,55
259,0
260,3
261,15
262,0
263,0
264,0
265,0
266,0
267,0
268,2
269,0
270,5
271,0
272,0
273,0
274,0
275,3
276,0
277,0
278,0
279,0
280,38
281,0
282,0
283,0
284,16
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,4
296,0
297,0
298,7
299,0
300,43
301,0
302,5
